INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,Rue_cote,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,Essence_ang,DHP,Date_releve,Date_plantation,LOCALISATION,Localisation_code,CODE_PARC,NOM_PARC,Rue_de,Rue_a,Distance_pave,Distance_ligne_rue,Stationnement_jour,Stationnement_heure,District,Remarquable,Code_secteur,Nom_secteur,Coord_X,Coord_Y,Latitude,Longitude
,0000001,15,Outremont,DUNLOP,,   711,parterre,"295649,90","5041556,82",,GINKGO BILOBA 'PRINC. SENTRY',,,"11,00",2021-07.29,,sur le côté façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295649,90","5041556,82",,
,0000002,15,Outremont,DUNLOP,,   717,parterre,"295641,36","5041563,73",,TILIA AMERICANA  REDMOND,,,"18,00",2021-08.09,,droite,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295641,36","5041563,73",,
,0000003,15,Outremont,DUNLOP,,   717,façade,"295633,51","5041569,70",,ACER PLATANOIDES,,,"86,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295633,51","5041569,70",,
,0000004,15,Outremont,DUNLOP,,   723,parterre,"295621,84","5041575,97",,QUERCUS ROBUR,,,"51,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295621,84","5041575,97",,
,0000005,15,Outremont,DUNLOP,,   735,façade,"295599,56","5041590,29",,ACER SACCHARINUM,,,"92,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295599,56","5041590,29",,
,0000006,15,Outremont,DUNLOP,,   739,parterre,"295585,16","5041598,92",,PHELLODENDRON AMU. HIS MAJESTY,,,"6,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295585,16","5041598,92",,
,0000007,15,Outremont,DUNLOP,,   745,façade,"295575,03","5041606,02",,ACER SACCHARINUM,,,"80,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295575,03","5041606,02",,
,0000008,15,Outremont,DUNLOP,,   751,façade,"295565,54","5041612,45",,FRAXINUS PENNSYLVANICA,,,"47,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295565,54","5041612,45",,
,0000009,15,Outremont,DUNLOP,,   755,parterre,"295551,56","5041620,33",,ACER PLATANOIDES,,,"37,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295551,56","5041620,33",,
,0000010,15,Outremont,DUNLOP,,   759,façade,"295536,35","5041630,11",,ACER SACCHARINUM,,,"64,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295536,35","5041630,11",,
,0000011,15,Outremont,DUNLOP,,   765,façade,"295523,47","5041638,26",,GLEDITSIA TRIACANTHOS INERMIS,,,"46,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295523,47","5041638,26",,
,0000012,15,Outremont,DUNLOP,,   769,parterre,"295516,05","5041642,97",,ACER SACCHARINUM,,,"81,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295516,05","5041642,97",,
,0000013,15,Outremont,DUNLOP,,   775,parterre,"295506,40","5041649,89",,ACER PLATANOIDES EMLD QUN,,,"12,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295506,40","5041649,89",,
,0000014,15,Outremont,DUNLOP,,   785,droite,"295497,52","5041655,28",,ACER PLATANOIDES,,,"82,00",2024-09.09,,droite,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295497,52","5041655,28",,
,0000017,15,Outremont,DUNLOP,,   789,parterre,"295478,54","5041668,41",,ACER PLATANOIDES,,,"75,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295478,54","5041668,41",,
,0000018,15,Outremont,DUNLOP,,   795,parterre,"295464,32","5041676,09",,GINKGO BILOBA 'PRINC. SENTRY',,,"7,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295464,32","5041676,09",,
,0000019,15,Outremont,DUNLOP,,   795,parterre,"295457,71","5041680,93",,ACER PLATANOIDES,,,"59,00",2024-07.25,,gauche,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295457,71","5041680,93",,
,0000022,15,Outremont,DUNLOP,,   805,droite,"295423,30","5041702,11",,ULMUS PUMILA,,,"58,00",2024-09.09,,droite,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295423,30","5041702,11",,
,0000023,15,Outremont,DUNLOP,,   805,parterre,"295415,07","5041707,42",,AMELANCHIER LAEVIS,,,"9,00",2023-08.30,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295415,07","5041707,42",,
,0000024,15,Outremont,DUNLOP,,   815,parterre,"295407,46","5041713,38",,QUERCUS BICOLOR,,,"5,00",2025-04.30,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295407,46","5041713,38",,
,0000025,15,Outremont,DUNLOP,,   817,parterre,"295399,43","5041716,23",,ACER PLATANOIDES,,,"65,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295399,43","5041716,23",,
,0000026,15,Outremont,DUNLOP,,   825,parterre,"295392,89","5041722,03",,GLEDITSIA T. I.  SHADEMASTER,,,"8,00",2021-08.09,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295392,89","5041722,03",,
,0000027,15,Outremont,DUNLOP,,   827,parterre,"295387,35","5041725,46",,ACER SACCHARINUM,,,"66,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295387,35","5041725,46",,
,0000028,15,Outremont,DUNLOP,,   827,parterre,"295381,83","5041729,00",,ULMUS 'ACCOLADE',,,"7,00",2021-08.09,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295381,83","5041729,00",,
,0000029,15,Outremont,DUNLOP,,   835,parterre,"295375,42","5041733,00",,FRAXINUS AMERICANA,,,"32,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295375,42","5041733,00",,
,0000030,15,Outremont,DUNLOP,,   837,parterre,"295366,30","5041737,42",,ACER PLATANOIDES,,,"63,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295366,30","5041737,42",,
,0000031,15,Outremont,DUNLOP,,   845,façade,"295359,21","5041742,28",,ACER SACCHARINUM,,,"80,00",2024-09.09,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295359,21","5041742,28",,
,0000032,15,Outremont,DUNLOP,,   847,parterre,"295354,75","5041746,32",,QUERCUS MACROCARPA,,,"4,00",2021-08.09,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295354,75","5041746,32",,
,0000033,15,Outremont,DUNLOP,,   847,parterre,"295348,10","5041750,96",,ACER PLATANOIDES,,,"71,00",2025-06.11,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295348,10","5041750,96",,
,0000034,15,Outremont,DUNLOP,,   855,parterre,"295340,09","5041755,61",,TILIA CORDATA,,,"30,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295340,09","5041755,61",,
,0000035,15,Outremont,DUNLOP,,   857,parterre,"295338,14","5041757,21",,ACER PLATANOIDES  SUPERFORM,,,"34,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295338,14","5041757,21",,
,0000036,15,Outremont,DUNLOP,,   865,parterre,"295323,38","5041766,56",,ACER PLATANOIDES  DEBORAH,,,"40,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295323,38","5041766,56",,
,0000037,15,Outremont,DUNLOP,,   865,parterre,"295319,00","5041769,39",,ACER PLATANOIDES  DEBORAH,,,"46,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295319,00","5041769,39",,
,0000038,15,Outremont,DUNLOP,,   867,gauche,"295310,37","5041775,60",,ACER PLATANOIDES,,,"56,00",2024-09.09,,gauche,,,,VAN HORNE,DUCHARME,"3,20",,Mar 9h-11h,,I,,1,,"295310,37","5041775,60",,
,0000039,15,Outremont,DUNLOP,,   903,parterre,"295291,90","5041787,95",,ACER PLATANOIDES  DEBORAH,,,"33,00",2024-07.25,,droite,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295291,90","5041787,95",,
,0000040,15,Outremont,DUNLOP,,   903,parterre,"295284,52","5041791,18",,ACER PLAT. DEBORAH,,,"28,00",2024-07.25,,façade,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295284,52","5041791,18",,
,0000042,15,Outremont,DUNLOP,,   905,parterre,"295272,24","5041799,87",,ACER PLATANOIDES,,,"85,00",2024-07.25,,gauche,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295272,24","5041799,87",,
,0000043,15,Outremont,DUNLOP,,   911,parterre,"295267,23","5041802,81",,GLEDITSIA T. I.  SHADEMASTER,,,"7,00",2021-08.09,,façade,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295267,23","5041802,81",,
,0000044,15,Outremont,DUNLOP,,   917,parterre,"295251,76","5041812,22",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"6,00",2021-08.09,,façade,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295251,76","5041812,22",,
,0000045,15,Outremont,DUNLOP,,   923,parterre,"295243,92","5041817,12",,ACER SACCHARINUM,,,"63,00",2024-07.25,,façade,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295243,92","5041817,12",,
,0000046,15,Outremont,DUNLOP,,   931,parterre,"295232,70","5041825,67",,ACER PLATANOIDES,,,"82,00",2024-07.25,,façade,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295232,70","5041825,67",,
,0000047,15,Outremont,DUNLOP,,   939,parterre,"295225,95","5041830,44",,ACER PLATANOIDES,,,"72,00",2024-07.25,,droite,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295225,95","5041830,44",,
,0000048,15,Outremont,DUNLOP,,   939,parterre,"295218,83","5041832,79",,TILIA CORDATA,,,"49,00",2024-07.25,,façade,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295218,83","5041832,79",,
,0000049,15,Outremont,DUNLOP,,   945,parterre,"295208,51","5041839,10",,ACER PLATANOIDES,,,"85,00",2024-07.25,,façade,,,,DUCHARME,"MANOIR, DU","3,40",,Mar 9h-11h,,I,,1,,"295208,51","5041839,10",,
,0000050,15,Outremont,DUNLOP,,   957,parterre,"295191,75","5041850,17",,ACER PLATANOIDES,,,"34,00",2024-07.25,,droite,,,,DUCHARME,"MANOIR, DU","340,00",,Mar 9h-11h,,I,,1,,"295191,75","5041850,17",,
,0000051,15,Outremont,DUNLOP,,   959,façade,"295186,90","5041853,12",,ACER PLATANOIDES,,,"73,00",2024-09.09,,façade,,,,DUCHARME,"MANOIR, DU","340,00",,Mar 9h-11h,,I,,1,,"295186,90","5041853,12",,
,0000052,15,Outremont,DUNLOP,,   965,parterre,"295178,18","5041858,93",,ACER PLATANOIDES  DEBORAH,,,"40,00",2024-07.25,,droite,,,,DUCHARME,"MANOIR, DU","340,00",,Mar 9h-11h,,I,,1,,"295178,18","5041858,93",,
,0000053,15,Outremont,DUNLOP,,   965,parterre,"295173,06","5041862,13",,ACER PLATANOIDES,,,"40,00",2024-07.25,,façade,,,,DUCHARME,"MANOIR, DU","340,00",,Mar 9h-11h,,I,,1,,"295173,06","5041862,13",,
,0000054,15,Outremont,DUNLOP,,   611,sur le côté gauche,"295863,57","5041416,80",,ACER PLATANOIDES,,,"55,00",2024-09.09,,sur le côté gauche,,,,"COTE-STE-CATHERINE, DE LA","CAMBRAI, PLACE","100,00",,Mar 9h-11h,,I,,1,,"295863,57","5041416,80",,
,0000055,15,Outremont,DUNLOP,,   611,sur le côté gauche,"295853,20","5041422,76",,ACER PLATANOIDES,,,"54,00",2024-09.09,,sur le côté gauche,,,,"COTE-STE-CATHERINE, DE LA","CAMBRAI, PLACE","100,00",,Mar 9h-11h,,I,,1,,"295853,20","5041422,76",,
,0000056,15,Outremont,DUNLOP,,   615,banquette,"295849,38","5041426,62",,GYMNOCLADUS DIOICUS,,,"9,00",2021-08.09,,façade,,,,"COTE-STE-CATHERINE, DE LA","CAMBRAI, PLACE","0,00",,Mar 8h-9h,,I,,1,,"295849,38","5041426,62",,
,0000057,15,Outremont,DUNLOP,,   615,banquette,"295845,63","5041429,11",,GYMNOCLADUS DIOICUS,,,"7,00",2021-08.09,,façade,,,,"COTE-STE-CATHERINE, DE LA","CAMBRAI, PLACE","0,00",,Mar 9h-11h,,I,,1,,"295845,63","5041429,11",,
,0000058,15,Outremont,DUNLOP,,   625,banquette,"295815,40","5041445,88",,ACER FREEMANII AUTUMN BLAZE,,,"5,00",2024-06.21,,façade,,,,"CAMBRAI, PLACE",KELVIN,"0,00",,Mar 9h-11h,,I,,1,,"295815,40","5041445,88",,
,0000059,15,Outremont,DUNLOP,,   625,banquette,"295808,57","5041450,66",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"5,00",2025-09.23,,façade,,,,"CAMBRAI, PLACE",KELVIN,"0,00",,Mar 9h-11h,,I,,1,,"295808,57","5041450,66",,
,0000060,15,Outremont,DUNLOP,,   625,banquette,"295801,13","5041457,02",,ULMUS AMERICANA 'PRINCETON',,,"5,00",2021-08.31,,façade,,,,"CAMBRAI, PLACE",KELVIN,"0,00",,Mar 9h-11h,,I,,1,,"295801,13","5041457,02",,
,0000061,15,Outremont,DUNLOP,,   625,banquette,"295793,91","5041461,47",,CELTIS OCCIDENTALIS,,,"5,00",2024-10.09,,gauche,,,,"CAMBRAI, PLACE",KELVIN,"0,00",,Mar 9h-11h,,I,,1,,"295793,91","5041461,47",,
,0000062,15,Outremont,DUNLOP,,   625,banquette,"295787,68","5041465,54",,ACER PLATANOIDES  DEBORAH,,,"22,00",2024-07.25,,gauche,,,,"CAMBRAI, PLACE",KELVIN,"0,00",,Mar 9h-11h,,I,,1,,"295787,68","5041465,54",,
,0000063,15,Outremont,DUNLOP,,   625,banquette,"295782,57","5041468,29",,GLEDITSIA T. I.  SKYLINE,,,"14,00",2021-08.09,,gauche,,,,"CAMBRAI, PLACE",KELVIN,"0,00",,Mar 9h-11h,,I,,1,,"295782,57","5041468,29",,
,0000064,15,Outremont,DUNLOP,,   633,parterre,"295763,19","5041484,07",,ACER FREEMANII AUTUMN BLAZE,,,"5,00",2025-09.23,,façade,,,,KELVIN,LAJOIE,"0,00",,Mar 9h-11h,,I,,1,,"295763,19","5041484,07",,
,0000065,15,Outremont,DUNLOP,,   637,parterre,"295742,89","5041497,78",,GINKGO BILOBA 'AUTUMN GOLD',,,"6,00",2021-08.09,,façade,,,,KELVIN,LAJOIE,"0,00",,Mar 9h-11h,,I,,1,,"295742,89","5041497,78",,
,0000066,15,Outremont,DUNLOP,,   645,parterre,"295726,65","5041508,92",,SYRINGA R.  IVORY SILK,,,"18,00",2021-08.09,,façade,,,,KELVIN,LAJOIE,"0,00",,Mar 9h-11h,,I,,1,,"295726,65","5041508,92",,
,0000067,15,Outremont,DUNLOP,,   645,parterre,"295718,22","5041513,68",,ACER PLATANOIDES  DEBORAH,,,"40,00",2024-07.25,,façade,,,,KELVIN,LAJOIE,"280,00",,Mar 9h-11h,,I,,1,,"295718,22","5041513,68",,
,0000068,15,Outremont,DUNLOP,,   675,parterre,"295711,03","5041518,49",,ACER PLATANOIDES EMLD QUN,,,"34,00",2024-07.25,,façade,,,,KELVIN,LAJOIE,"280,00",,Mar 9h-11h,,I,,1,,"295711,03","5041518,49",,
,0000069,15,Outremont,DUNLOP,,   675,parterre,"295701,45","5041523,95",,ACER PLATANOIDES,,,"62,00",2025-07.21,,façade,,,,KELVIN,LAJOIE,"280,00",,Mar 9h-11h,,I,,1,,"295701,45","5041523,95",,
,0000070,15,Outremont,DUNLOP,,   675,parterre,"295693,10","5041528,55",,GLEDITSIA TRIACANTHOS INERMIS,,,"52,00",2025-07.21,,façade,,,,KELVIN,LAJOIE,"0,00",,Mar 9h-11h,,I,,1,,"295693,10","5041528,55",,
,0000071,15,Outremont,DUNLOP,,   685,parterre,"295683,11","5041536,38",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"6,00",2021-08.09,,droite,,,,KELVIN,LAJOIE,"0,00",,Mar 9h-11h,,I,,1,,"295683,11","5041536,38",,
,0000072,15,Outremont,DUNLOP,,   685,gauche,"295674,71","5041542,35",,ACER SACCHARINUM,,,"66,00",2024-09.09,,gauche,,,,KELVIN,LAJOIE,"280,00",,Mar 9h-11h,,I,,1,,"295674,71","5041542,35",,
,0000073,15,Outremont,DUNLOP,,   690,parterre,"295673,49","5041526,27",,ACER PLATANOIDES,,,"32,00",2024-07.25,,façade,,,,KELVIN,LAJOIE,"300,00",,Tout temps,,P,,1,,"295673,49","5041526,27",,
,0000074,15,Outremont,DUNLOP,,   676,parterre,"295681,68","5041519,31",,AMELANCHIER LAEVIS,,,"5,00",2023-06.27,,façade,,,,KELVIN,LAJOIE,"0,00",,Tout temps,,P,,1,,"295681,68","5041519,31",,
,0000075,15,Outremont,DUNLOP,,   676,parterre,"295689,89","5041514,29",,GINKGO BILOBA,,,"7,00",2021-08.09,,façade,,,,KELVIN,LAJOIE,"0,00",,Tout temps,,P,,1,,"295689,89","5041514,29",,
,0000076,15,Outremont,DUNLOP,,   660,parterre,"295696,15","5041509,85",,SYRINGA R.  IVORY SILK,,,"6,00",2025-04.17,,façade,,,,KELVIN,LAJOIE,"0,00",,Tout temps,,P,,1,,"295696,15","5041509,85",,
,0000077,15,Outremont,DUNLOP,,   660,parterre,"295707,28","5041503,88",,ULMUS 'ACCOLADE',,,"12,00",2021-08.09,,façade,,,,KELVIN,LAJOIE,"0,00",,Tout temps,,P,,1,,"295707,28","5041503,88",,
,0000078,15,Outremont,DUNLOP,,   640,parterre,"295712,74","5041499,26",,GLEDITSIA T. 'STREET KEEPER',,,"5,00",2023-12.01,,façade,,,,KELVIN,LAJOIE,"0,00",,Mer 9h-11h,,P,,1,,"295712,74","5041499,26",,
,0000079,15,Outremont,DUNLOP,,   632,façade,"295759,07","5041472,34",,ACER PLATANOIDES,,,"35,00",2024-09.09,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"100,00",,Tout temps,,P,,1,,"295759,07","5041472,34",,
,0000080,15,Outremont,DUNLOP,,   630,droite,"295771,14","5041464,60",,ACER PLATANOIDES,,,"34,00",2024-09.09,,droite,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"100,00",,Tout temps,,P,,1,,"295771,14","5041464,60",,
,0000081,15,Outremont,DUNLOP,,   630,banquette,"295781,58","5041457,34",,ACER PLATANOIDES  SUPERFORM,,,"22,00",2024-07.25,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"100,00",,Tout temps,,P,,1,,"295781,58","5041457,34",,
,0000082,15,Outremont,DUNLOP,,   628,banquette,"295787,46","5041452,37",,GLEDITSIA T. 'STREET KEEPER',,,"6,00",2021-08.09,,droite,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"0,00",,Tout temps,,P,,1,,"295787,46","5041452,37",,
,0000083,15,Outremont,DUNLOP,,   628,banquette,"295795,31","5041447,06",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"5,00",2021-08.09,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"0,00",,Tout temps,,P,,1,,"295795,31","5041447,06",,
,0000084,15,Outremont,DUNLOP,,   624,façade,"295807,72","5041441,29",,ACER PLATANOIDES,,,"58,00",2024-09.09,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"100,00",,Tout temps,,P,,1,,"295807,72","5041441,29",,
,0000085,15,Outremont,DUNLOP,,   616,banquette,"295822,42","5041428,41",,ACER PLATANOIDES  DEBORAH,,,"19,00",2021-08.09,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"0,00",,Tout temps,,P,,1,,"295822,42","5041428,41",,
,0000086,15,Outremont,DUNLOP,,   616,banquette,"295828,65","5041426,58",,GINKGO BILOBA 'AUTUMN GOLD',,,"5,00",2020-12.03,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"0,00",,Tout temps,,P,,1,,"295828,65","5041426,58",,
,0000087,15,Outremont,DUNLOP,,   616,banquette,"295834,38","5041420,92",,ACER PLATANOIDES,,,"53,00",2024-07.25,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"100,00",,Tout temps,,P,,1,,"295834,38","5041420,92",,
,0000088,15,Outremont,DUNLOP,,   612,banquette,"295846,41","5041414,42",,ACER PLATANOIDES  DEBORAH,,,"41,00",2024-07.25,,façade,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"100,00",,Tout temps,,P,,1,,"295846,41","5041414,42",,
,0000089,15,Outremont,DUNLOP,,   612,banquette,"295864,13","5041403,88",,PHELLODENDRON AMURENSIS 'MACHO,,,"7,00",2025-06.18,,gauche,,,,"COTE-STE-CATHERINE, DE LA",KELVIN,"0,00",,Tout temps,,P,,1,,"295864,13","5041403,88",,
,0000091,15,Outremont,DUNLOP,,   810,parterre,"295410,04","5041692,37",,GLEDITSIA T. I.  SHADEMASTER,,,"13,00",2023-03.27,,gauche,,,,VAN HORNE,DUCHARME,"0,00",,Tout temps,,P,,1,,"295410,04","5041692,37",,
,0000092,15,Outremont,DUNLOP,,   810,parterre,"295401,82","5041697,43",,GLEDITSIA T. I.  SHADEMASTER,,,"10,00",2023-03.27,,façade,,,,VAN HORNE,DUCHARME,"0,00",,Tout temps,,P,,1,,"295401,82","5041697,43",,
,0000093,15,Outremont,DUNLOP,,   814,façade,"295394,56","5041701,97",,ACER PLATANOIDES,,,"61,00",2024-09.09,,façade,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295394,56","5041701,97",,
,0000094,15,Outremont,DUNLOP,,   816,parterre,"295387,76","5041707,87",,ACER PLATANOIDES,,,"36,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295387,76","5041707,87",,
,0000095,15,Outremont,DUNLOP,,   830,parterre,"295371,74","5041717,71",,ACER PLATANOIDES,,,"64,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295371,74","5041717,71",,
,0000096,15,Outremont,DUNLOP,,   830,parterre,"295363,75","5041722,22",,GINKGO BILOBA 'PRINC. SENTRY',,,"7,00",2023-03.27,,façade,,,,VAN HORNE,DUCHARME,"0,00",,Tout temps,,P,,1,,"295363,75","5041722,22",,
,0000097,15,Outremont,DUNLOP,,   846,gauche,"295351,52","5041729,62",,ACER PLATANOIDES,,,"75,00",2024-09.09,,gauche,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295351,52","5041729,62",,
,0000098,15,Outremont,DUNLOP,,   852,parterre,"295338,65","5041738,39",,ACER PLATANOIDES,,,"59,00",2024-07.25,,façade,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295338,65","5041738,39",,
,0000099,15,Outremont,DUNLOP,,   860,parterre,"295330,96","5041742,83",,TILIA AMERICANA  REDMOND,,,"7,00",2021-08.09,,façade,,,,VAN HORNE,DUCHARME,"0,00",,Tout temps,,P,,1,,"295330,96","5041742,83",,
,0000100,15,Outremont,DUNLOP,,   870,parterre,"295324,15","5041746,68",,ACER SACCHARINUM,,,"71,00",2024-07.25,,droite,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295324,15","5041746,68",,
,0000101,15,Outremont,DUNLOP,,   870,parterre,"295316,75","5041751,29",,TILIA TOMENTOSA,,,"5,00",2025-04.28,,façade,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295316,75","5041751,29",,
,0000102,15,Outremont,DUNLOP,,   870,façade,"295306,02","5041757,62",,ACER PLATANOIDES,,,"32,00",2024-09.09,,façade,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295306,02","5041757,62",,
,0000103,15,Outremont,DUNLOP,,   870,parterre,"295301,15","5041760,34",,ACER PLATANOIDES COLUMNARE,,,"37,00",2024-07.25,,droite,,,,VAN HORNE,DUCHARME,"330,00",,Tout temps,,P,,1,,"295301,15","5041760,34",,
,0000104,15,Outremont,DUNLOP,,   900,façade,"295281,83","5041774,39",,ACER PLATANOIDES,,,"91,00",2024-09.09,,façade,,,,DUCHARME,"MANOIR, DU","330,00",,Tout temps,,P,,1,,"295281,83","5041774,39",,
,0000105,15,Outremont,DUNLOP,,   900,droite,"295277,13","5041776,00",,ACER SACCHARINUM,,,"76,00",2024-09.09,,droite,,,,DUCHARME,"MANOIR, DU","330,00",,Tout temps,,P,,1,,"295277,13","5041776,00",,
,0000106,15,Outremont,DUNLOP,,   906,parterre,"295265,19","5041785,18",,AMELANCHIER LAEVIS,,,"5,00",2023-06.27,,façade,,,,DUCHARME,"MANOIR, DU","0,00",,Tout temps,,P,,1,,"295265,19","5041785,18",,
,0000107,15,Outremont,DUNLOP,,   910,parterre,"295257,90","5041789,74",,TILIA AMERICANA  REDMOND,,,"18,00",2023-03.23,,façade,,,,DUCHARME,"MANOIR, DU","0,00",,Tout temps,,P,,1,,"295257,90","5041789,74",,
,0000108,15,Outremont,DUNLOP,,   918,parterre,"295248,88","5041795,27",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"7,00",2023-03.23,,gauche,,,,DUCHARME,"MANOIR, DU","0,00",,Tout temps,,P,,1,,"295248,88","5041795,27",,
,0000109,15,Outremont,DUNLOP,,   918,parterre,"295241,35","5041800,31",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"7,00",2023-03.23,,façade,,,,DUCHARME,"MANOIR, DU","0,00",,Tout temps,,P,,1,,"295241,35","5041800,31",,
,0000110,15,Outremont,DUNLOP,,   924,parterre,"295235,05","5041804,80",,ACER PLATANOIDES,,,"62,00",2024-07.25,,façade,,,,DUCHARME,"MANOIR, DU","330,00",,Tout temps,,P,,1,,"295235,05","5041804,80",,
,0000111,15,Outremont,DUNLOP,,   928,parterre,"295224,83","5041810,68",,GINKGO BILOBA 'WOODSTOCK',,,"8,00",2023-03.23,,façade,,,,DUCHARME,"MANOIR, DU","0,00",,Tout temps,,P,,1,,"295224,83","5041810,68",,
